study	year	pubmed_link	first_author	last_author	animal_species	animal_strain	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	infection_route	treatment_route	vehicle	control_compound	compound	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_days_to_endpoint	treatment_sd	treatment_sem	treatment_n	control_days_to_endpoint	control_sd	control_n	delay	reported_p	eyeballed	comments
Wagner 2013	2013		Wagner	Giese	mice	C57BL/6			wt	1	RML	49	0.01	30	i.c.	oral	dmso and peanut butter	dmso and peanut butter	anle138b	10 mg/day	5	400.0	2270.3	0	death	survival	355.0			8	180.0		8	0.97	0.0001	0	
Wagner 2013	2013		Wagner	Giese	mice	C57BL/6			wt	1	RML	49	0.01	30	i.c.	oral	dmso and peanut butter	dmso and peanut butter	anle138b	5 mg/day	5	200.0	1135.1	80	death	survival	242.0			8	168.0		8	0.44	0.0001	0	
Wagner 2013	2013		Wagner	Giese	mice	C57BL/6			wt	1	RML	49	0.01	30	i.c.	oral	dmso and peanut butter	dmso and peanut butter	anle138b	5 mg/day	5	200.0	1135.1	120	death	survival	224.0			8	172.0		8	0.30	0.0001	0	
Karapteyan & Sferrazza 2013	2013		"Karapetyan, Sferrazza"	Lasmezas	mice	C57BL/6			wt	1	RML	56	0.01	20	i.c.	i.p.	50% dmso	50% dmso	tacrolimus	1.5 mg/kg/day	1.5	1.5	8.5	20	50	survival	149.0			7	149.0	2.0	5	0.00	1	1	"data not given, they merely state it's not significant"
Karapteyan & Sferrazza 2013	2013		"Karapetyan, Sferrazza"	Lasmezas	mice	C57BL/6			wt	1	RML	56	0.01	20	i.c.	i.p.	50% dmso	50% dmso	astemizole	3 mg/kg/day	3	3.0	17.0	20	50	survival	155.0	3.0			149.0	2.0	5	0.04	0.06	0	
Mok 2006	2006	http://www.ncbi.nlm.nih.gov/pubmed/16890918	Mok	Baier	mice	C57BL/6			wt	1	139A		0.001	20	i.c.	oral	food	food	simvastatin	100 mg/kg/day	100	100.0	567.6	100	death	survival	194.0	6.0		10	178.0	7.0	10	0.09	0.0003	0	
Mok 2006	2006	http://www.ncbi.nlm.nih.gov/pubmed/16890918	Mok	Baier	mice	C57BL/6			wt	1	139A		0.0001	20	i.c.	oral	food	food	simvastatin	100 mg/kg/day	100	100.0	567.6	100	death	survival	213.0	9.0		10	193.0	11.0	9	0.10	0.00003	0	
Kempster 2007	2007	http://www.ncbi.nlm.nih.gov/pubmed/17496807	Kempster		mice	C57BL/6			wt	1	ME7	77	0.01	20	i.c.	oral	water	water	simvastatin	1 mg/kg/day	1	1.0	5.7	0	death	survival	193.0	1.1		8	183.0	2.2	8	0.05	0.05	0	
Kempster 2007	2007	http://www.ncbi.nlm.nih.gov/pubmed/17496807	Kempster		mice	C57BL/6			wt	1	ME7	77	0.01	20	i.c.	oral	water	water	simvastatin	1 mg/kg/day	1	1.0	5.7	0	death	clinical signs	175.0			8	155.0		8	0.13		0	
Kempster 2007	2007	http://www.ncbi.nlm.nih.gov/pubmed/17496807	Kempster		mice	C57BL/6			wt	1	ME7	77	0.01	20	i.c.	oral	water	water	simvastatin	1 mg/kg/day	1	1.0	5.7	123	death	survival	187.0	5.0		8	183.0	2.2	8	0.02	0.3	0	
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796	Haviv		mice	FVB/N			wt	1	RML		0.01	30	i.c.	oral	water	water	simvastatin	2 escalating to 20 mg/kg/day	20	20.0	113.5	72	death	survival	166.7	2.2		16	148.4	3.9	24	0.12	0.001	0	"expts a,c,d - average is from a,b,c,d"
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796	Haviv		mice	FVB/N			wt	1	RML		0.01	30	i.c.	oral	water	water	simvastatin	2 escalating to 20 mg/kg/day	20	20.0	113.5	41	death	survival	166.7	2.2		4	148.4	3.9	24	0.12	0.001	0	"expt b - average is from a,b,c,d"
