study	year	pubmed_link	full_text_link	first_author	last_author	animal_species	animal_strain	animal_sex	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	ld50_prions	infection_route	treatment_route	vehicle	control_compound	treatment_class	treatment	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_endpoint_dpi	treatment_sd	treatment_sem	treatment_n	treatment_attack_rate	censored_dpi	control_endpoint_dpi	control_sd	control_n	control_attack_rate	delay	reported_p	eyeballed	comments
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	0	7	symptomatic	64.9	1.7		8	1		51.2	1.3	9	1	0.27	0.001		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	7	14	symptomatic	56.5	1.0		8	1		51.2	1.3	9	1	0.10	0.01		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	21	28	symptomatic	57.1	1.5		8	1		51.2	1.3	9	1	0.12	0.01		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	28	35	symptomatic	52.8	0.4		8	1		51.2	1.3	9	1	0.03	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	0.1 mg/kg 6x/wk		0.1	0.8	0	50	symptomatic	70.4	2.0		8	1		56.7	0.5	14	1	0.24	0.001		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	0	50	symptomatic	78.3	2.2		7	1		56.7	0.5	14	1	0.38	0.001		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	5 mg/kg 6x/wk		4.3	40.5	0	50	symptomatic	89.1	1.1		8	1		56.7	0.5	14	1	0.57	0.001		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	10 mg/kg 6x/wk		8.6	81.1	0	10	symptomatic	77.8	1.4		4	1		56.7	0.5	14	1	0.37	0.001		half (4/8) the mice died of the AmB dose
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.p.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	40	122.3	symptomatic	122.3	8.1		7	1		104.6	2.3		1	0.17	0.05		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.p.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	50	111.2	symptomatic	111.2	7.3		7	1		104.6	2.3		1	0.06	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.p.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	60	100.9	symptomatic	100.9	4.7		7	1		104.6	2.3		1	-0.04	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	diluted saline	diluted saline	small molecule	mepartricin	.025 mg/kg 6x/wk		0.021	0.2	0	50	symptomatic	65.4	1.9		9	1		60.7	0.8	18	1	0.08	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	diluted saline	diluted saline	small molecule	mepartricin	.25 mg/kg 6x/wk		0.2	2.0	0	50	symptomatic	61.7	2.2		9	1		60.7	0.8	18	1	0.02	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	diluted saline	diluted saline	small molecule	mepartricin	1 mg/kg 6x/wk		0.9	8.1	0	50	symptomatic	59.0	0.1		8	1		60.7	0.8	18	1	-0.03	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.p.	i.p.	diluted saline	diluted saline	small molecule	mepartricin	.25 mg/kg 6x/wk		0.2	2.0	0	50	symptomatic	100.8	10.7		6	1		91.2	2.4	18	1	0.11	1		
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.p.	i.p.	diluted saline	diluted saline	small molecule	mepartricin	1 mg/kg 6x/wk		0.9	8.1	0	50	symptomatic	112.8	8.3		5	1		91.2	2.4	18	1	0.24	0.005		
Xi 1992	1992	http://www.ncbi.nlm.nih.gov/pubmed/1348570		Xi	Pocchiari	hamsters	-				wt	1	263K	21	0.1	50		i.c.	i.p.		sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	1	98.6	symptomatic	98.6	2.7		9	1		56.6	3.7	17	1	0.74	0.001		
Xi 1992	1992	http://www.ncbi.nlm.nih.gov/pubmed/1348570		Xi	Pocchiari	hamsters	-				wt	1	139H	21	0.1	50		i.c.	i.p.		sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	0	130	symptomatic	138.2	1.0		13	1		138.1	3.3	20	1	0.00	1		
Xi 1992	1992	http://www.ncbi.nlm.nih.gov/pubmed/1348570		Xi	Pocchiari	mice	Swiss				wt	1	139A		0.1	30		i.c.	i.p.		sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	3 mg/kg 6x/wk		2.6	14.6	0	90	symptomatic	131.9	7.3		12	1		131.4	3.9	17	1	0.00	1		
McKenzie 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7933137/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC237196/pdf/jvirol00020-0722.pdf	McKenzie	Aiken	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	1		symptomatic	87.5	4.8		25	1		61.7	2.6	19	1	0.42	0.0005		Time when treatment was stopped is not stated.
McKenzie 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7933137/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC237196/pdf/jvirol00020-0722.pdf	McKenzie	Aiken	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	1		survival	107.0	3.1		16	1		83.7	2.8	12	1	0.28	0.0005		Time when treatment was stopped is not stated.
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.	5% w/v glucose solution	see comments	small molecule	amphotericin b	2.5 mg/kg/day		2.1	20.3	0	7	survival	98.7	0.7		3	1		84.0		5	1	0.18	0.03		averaged NMG (88 dpi) and untreated controls (81.3 dpi) which were not significantly different from each other
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.	NMG in 5% wt/vol glucose solution	see comments	small molecule	MS-8209	2.5 mg/kg/day		2.1	20.3	0	7	survival	100.7	0.3		3	1		84.0		5	1	0.20	0.03		averaged NMG and untreated controls which were not significantly different from each other
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	mice	-				wt	1	C506M3		0.01	20		i.c.	i.p.	5% w/v glucose solution	untreated	small molecule	amphotericin b	2.5 mg/kg/day		2.1	12.2	0		survival	222.7	7.1		6	1		170.7	2.3	3	1	0.30	0.03		"control average (n=3) was duplicated in 24 other mice, ""data not shown"""
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	mice	-				wt	1	C506M3		0.01	20		i.c.	i.p.	NMG in 5% wt/vol glucose solution	untreated	small molecule	MS-8209	2.5 mg/kg/day		2.1	12.2	0		survival	214.8	16.6		6	1		170.7	2.3	3	1	0.26	0.03		"control average (n=3) was duplicated in 24 other mice, ""data not shown"""
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	mice	-				wt	1	C506M3		0.01	80		i.c.	i.p.	NMG in 5% wt/vol glucose solution	see comments	small molecule	MS-8209	.25 mg/kg/day		0.2	1.2	-7	40	survival	330.0	3.9		6	1		329.6	6.7	6	1	0.00	1		averaged NMG (88 dpi) and untreated controls (81.3 dpi) which were not significantly different from each other
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	mice	-				wt	1	C506M3		0.01	80		i.c.	i.p.	NMG in 5% wt/vol glucose solution	see comments	small molecule	MS-8209	2.5 mg/kg/day		2.1	12.2	-7	40	survival	349.3	9.5		5	1		329.6	6.7	6	1	0.06	0.04		averaged NMG and untreated controls which were not significantly different from each other
Demaimay 1994	1994	http://www.ncbi.nlm.nih.gov/pubmed/7915757	http://vir.sgmjournals.org/content/75/9/2499.full.pdf	Demaimay	Dormont	mice	-				wt	1	C506M3		0.01	80		i.c.	i.p.			small molecule	MS-8209	25 mg/kg/day		21.4	121.6	-7	40	survival	357.1	7.5		12	1		332.7	6.7	6	1	0.07	0.001		
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0		survival	144.0	1.7			1		86.6	1.3		1	0.66	0.005		
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0		survival	151.5	0.7			1		86.6	1.3		1	0.75	0.005		
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	10 mg/kg  6x/wk	10	8.6	81.1	0		survival	171.0	1.0			1		86.6	1.3		1	0.97	0.005		
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	0		survival	171.1	1.2			1		86.6	1.3		1	0.98	0.005		
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	-14	0	survival	106.0			6	1		87.0		12	1	0.22		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	6	survival	100.0			6	1		87.0		12	1	0.15		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	6	survival	102.0			6	1		87.0		12	1	0.17		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	-14	0	survival	104.0			6	1		87.0		12	1	0.20		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	0	6	survival	120.0			6	1		87.0		12	1	0.38		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	-14	0	survival	118.0			6	1		87.0		12	1	0.36		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	-7	7	survival	122.0			6	1		87.0		12	1	0.40		1	numbers estimated from visual in Fig1A
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	50 mg/kg  one-time dose	50	42.9	405.4	0	0	survival	110.0			4	1		87.0		12	1	0.26		1	numbers estimated from visual in Fig1A; some mice died of toxicity
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	50 mg/kg  one-time dose	50	42.9	405.4	0	0	survival	108.0			4	1		87.0		12	1	0.24		1	numbers estimated from visual in Fig1A; some mice died of toxicity
Adjou 1995	1995	http://www.ncbi.nlm.nih.gov/pubmed/8593027/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC163037/pdf/392810.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	100 mg/kg  one-time dose	100	85.7	810.8	0	0	survival	111.0			4	1		87.0		12	1	0.28		1	numbers estimated from visual in Fig1A; some mice died of toxicity
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	169.7	3.1		5	1		159.8	2.5	4	1	0.06	1	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	176.0	4.4		5	1		159.8	2.5	4	1	0.10	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	179.9	6.3		8	1		169.4	4.7	11	1	0.06	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	178.7	4.3		7	1		169.4	4.7	11	1	0.05	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	90	120	survival	190.6	9.1		7	1		169.4	4.7	11	1	0.13	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	80		survival	187.0	1.4		8	1		158.0	3.1	6	1	0.18	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	80		survival	196.0	2.3		8	1		158.0	3.1	6	1	0.24	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	1 mg/kg  6x/wk	1	0.9	8.1	80		survival	187.0	2.4		8	1		158.0	3.1	6	1	0.18	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	80		survival	198.0	1.3		8	1		158.0	3.1	6	1	0.25	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	80		survival	221.0	4.1		8	1		158.0	3.1	6	1	0.40	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	110		survival	182.0	1.4		8	1		160.0	2.5	6	1	0.14	0.01	0	
